,IMDb-rating,appropriate_for,director,downloads,id,industry,language,posted_date,release_date,run_time,storyline,title,views,writer
0,4.8,R,John Swab,304,372092,Hollywood / English,English,"20 Feb, 2023",Jan 28 2023,105,"Doc
 facilitates a fragile truce between the Governor and Cartel, trading 
prosecutorial leniency for finance. With no more truce, Doc is left to 
fend for himself and protect the one untainted thing in his life: his 
daughter, Little Dixie.",Little Dixie,"2,794",John Swab
1,6.4,TV-PG,Paul Ziller,73,372091,Hollywood / English,English,"20 Feb, 2023",Feb 05 2023,84,"Caterer
 Goldy Berry reunites with detective Tom Schultz when a realtor is 
murdered. As they uncover personal and professional rivalries, they 
realize the culprit is closer than expected.",Grilling Season: A Curious Caterer Mystery,"1,002",John Christian Plummer
2,5.2,R,Ben Wheatley,"1,427",343381,Hollywood / English,"English,Hindi","20 Apr, 2021",Jun 18 2021,1h 47min,"As the world searches for a cure to a disastrous virus, a scientist and 
park scout venture deep in the forest for a routine equipment run.",In the Earth,"14,419",Ben Wheatley
3,8.1,,Venky Atluri,"1,549",372090,Tollywood,Hindi,"20 Feb, 2023",Feb 17 2023,139,The life of a young man and his struggles against the privatization of education.,Vaathi,"4,878",Venky Atluri
4,4.6,,Shaji Kailas,657,372089,Tollywood,Hindi,"20 Feb, 2023",Jan 26 2023,122,A man named Kalidas gets stranded due to the pandemic lock-down when he travels from Coimbatore to Kerala.,Alone,"2,438",Rajesh Jayaraman
5,5.4,,Srinivas Gavireddy,746,372088,Tollywood,Hindi,"20 Feb, 2023",Nov 26 2021,131,"Bagaram,
 after inheriting his grandfather's wealth at a young age, lives a 
lavish life and becomes a laughing stock for the village. On a quest to 
prove himself worthy of respect, things go haywire.",Anubhavinchu Raja,"2,940","Srinivas Gavireddy, Mayukh Adithya"
6,,TV-PG,,"5,332",372059,Wrestling,English,"19 Feb, 2023",Feb 18 2023,200,"Undisputed
 WWE Universal title: Reigns vs Sami Zayn. Lashley vs Lesnar. Edge, 
Phoenix vs Balor, Ripley. US title: Theory vs Rollins vs Gargano vs Reed
 vs Priest vs Montez. Asuka vs Morgan vs Cross vs Natalya vs Rodriguez 
vs Carmella.",WWE Elimination Chamber,"11,978",
7,6.5,R,Benjamin Caron,"1,781",371751,Hollywood / English,English,"13 Feb, 2023",Feb 17 2023,116,"Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires.",Sharper,"18,225","Brian Gatewood, Alessandro Tanaka"
8,6.9,PG-13,Ravi Kapoor,458,372042,Hollywood / English,English,"18 Feb, 2023",Dec 02 2022,80,"An
 unmotivated South Asian American rapper, along with three other first 
time thieves, plans a heist on a grocery store owned by his 
ex-girlfriend's father, in order to steal her wedding diamonds and 
disrupt her pending engagement.",Four Samosas,"6,912",Ravi Kapoor
9,4.2,,Danny LeGare,"1,965",372041,Hollywood / English,English,"18 Feb, 2023",Feb 07 2023,80,"A
 family moves back to a farm in the mother's hometown. One of the 
children is a clairvoyant and along with his sister they start to 
unravel secrets that have happened on the farm.",Blood Harvest,"9,710","Michael Hultquist, Danny LeGare, Seth Metoyer"
10,6.2,,Andrew Lawrence,742,372040,Hollywood / English,English,"18 Feb, 2023",Feb 03 2023,,Follows a couple who fall in love through their dogs being best pals.,Frankie Meets Jack,"4,618","Jen Bashian, Samantha Cope, Joseph Lawrence"
11,9,,Rohit Dhawan,"12,954",372039,Bollywood / Indian,Hindi,"18 Feb, 2023",Feb 17 2023,142,"Bantu
 is hated by his father Valmiki since he was a toddler. Samara, his boss
 show him affection and love until he discovers that the Jindals are his
 parents. Bantu decides to seek Jindals love and protect them from 
threats they facing.",Shehzada,"35,831","Hussain Dalal, Rohit Dhawan, Trivikram Srinivas"
12,,,,"2,253",372038,Wrestling,English,"18 Feb, 2023",Feb 17 2023,,,WWE Smackdown 2023-02-17,"5,468",
13,6.6,PG-13,Peyton Reed,"14,867",371992,Hollywood / English,"English,Hindi","17 Feb, 2023",Feb 17 2023,125,"Scott
 Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore
 the Quantum Realm, where they interact with strange creatures and 
embark on an adventure that goes beyond the limits of what they thought 
was possible.",Ant-Man and the Wasp: Quantumania,"39,399","Jack Kirby, Jeff Loveness"
14,7.1,R,Elegance Bratton,463,371991,Hollywood / English,English,"17 Feb, 2023",Dec 02 2022,95,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,"5,763",Elegance Bratton
15,6.5,Unrated,Rohit Shetty,"41,512",369560,Bollywood / Indian,Hindi,"24 Dec, 2022",Dec 23 2022,139,"Two
 sets of identical twins are accidentally separated at birth. Several 
years later, when they are coincidentally in the same town, there is a 
lot of confusion and misunderstanding when people mistake them for each 
other.",Cirkus,"126,897","Sanchit Bedre, Vidhi Ghodgaonkar, Yunus Sajawal"
16,,,,"2,785",371990,Punjabi,Punjabi,"17 Feb, 2023",Feb 16 2023,,,Sab Fadey Jaange.2023,"12,968",
17,6.4,Not Rated,Anandan .M.S.,"12,642",371989,Tollywood,Hindi,"17 Feb, 2023",Feb 19 2021,131,A soldier and a police officer join forces to bring down a cyber hacker.,Chakra,"37,664",Anandan .M.S.
18,,,,171,371988,Wrestling,English,"17 Feb, 2023",Feb 16 2023,,,TNA.Impact 2023-02-16,667,
19,4.7,,Sean Lahiff,"1,453",371943,Hollywood / English,English,"16 Feb, 2023",Dec 01 2022,93,"An
 aspiring documentarian and two conservationists who venture into the 
Outback to record the animals displaced by bushfires where they discover
 a terrifying new species.",Carnifex,"11,626",Shanti Gudgeon
20,6.4,,Lisbon Okafor,419,371940,Hollywood / English,English,"16 Feb, 2023",Oct 28 2022,90,"Three
 sisters from a fishing village in the West Indies take refuge in 
Berkeley, California, following a traumatic event that threatens to 
reveal a centuries-old family secret.",Ten-Cent Daisy,"5,655","Cheryl Latouche, Obieze Okafor"
21,5.2,PG-13,Michael Jacobs,271,371115,Hollywood / English,English,"30 Jan, 2023",Jan 26 2023,95,"Michelle
 and Allen are in a relationship. They decide to invite their parents to
 finally meet about marriage. Turns out, the parents already know one 
another well, which leads to some differing opinions about marriage.",Maybe I Do,"3,584",Michael Jacobs
